regiao;municipio;atividade;produção;ano;valor
Campanha;Pinheiro Machado;Arroz;Alta;2018;20000
Campanha;Pinheiro Machado;Grãos;Média;2015;12050
Campanha;Pinheiro Machado;Grãos;Média;2016;14200
Campanha;Pinheiro Machado;Grãos;Média;2017;14667
Campanha;Pinheiro Machado;Grãos;Média;2018;15000
Campanha;Pinheiro Machado;Pastagem;Baixa;2015;9083
Campanha;Pinheiro Machado;Pastagem;Baixa;2016;9000
Campanha;Pinheiro Machado;Pastagem;Baixa;2017;8667
Campanha;Pinheiro Machado;Pastagem;Baixa;2018;8500
Campanha;Piratini;Arroz;Alta;2015;16833
Campanha;Piratini;Arroz;Alta;2016;19875
Campanha;Piratini;Arroz;Alta;2017;20000
Campanha;Piratini;Arroz;Alta;2018;20000
Campanha;Piratini;Grãos;Média;2015;12050
Campanha;Piratini;Grãos;Média;2016;14200
Campanha;Piratini;Grãos;Média;2017;14667
Campanha;Piratini;Grãos;Média;2018;15000
Campanha;Piratini;Pastagem;Baixa;2015;9083
Campanha;Piratini;Pastagem;Baixa;2016;9000
Campanha;Piratini;Pastagem;Baixa;2017;8667
Campanha;Piratini;Pastagem;Baixa;2018;8500
Campanha;Santana da Boa Vista;Arroz;Alta;2015;16833
Campanha;Santana da Boa Vista;Arroz;Alta;2016;19875
Campanha;Santana da Boa Vista;Arroz;Alta;2017;20000
Campanha;Santana da Boa Vista;Arroz;Alta;2018;20000
Campanha;Santana da Boa Vista;Grãos;Média;2015;12050
Campanha;Santana da Boa Vista;Grãos;Média;2016;14200
Campanha;Santana da Boa Vista;Grãos;Média;2017;14667
Campanha;Santana da Boa Vista;Grãos;Média;2018;15000
Campanha;Santana da Boa Vista;Pastagem;Baixa;2015;9083
Campanha;Santana da Boa Vista;Pastagem;Baixa;2016;9000
Campanha;Santana da Boa Vista;Pastagem;Baixa;2017;8667
Campanha;Santana da Boa Vista;Pastagem;Baixa;2018;8500
Planalto;Ajuricaba;Grãos;Alta;2015;31183
Planalto;Ajuricaba;Grãos;Alta;2016;35500
Planalto;Ajuricaba;Grãos;Alta;2017;38400
Planalto;Ajuricaba;Grãos;Alta;2018;38400
Planalto;Ajuricaba;Grãos;Baixa;2015;22433
Planalto;Ajuricaba;Grãos;Baixa;2016;26700
Planalto;Ajuricaba;Grãos;Baixa;2017;25400
Planalto;Ajuricaba;Grãos;Baixa;2018;25400
Planalto;Ajuricaba;Pastagem;Baixa;2015;13022
Planalto;Ajuricaba;Pastagem;Baixa;2016;14000
Planalto;Ajuricaba;Pastagem;Baixa;2017;14000
Planalto;Ajuricaba;Pastagem;Baixa;2018;14000
Planalto;Alecrim;Grãos;Alta;2015;31183
Planalto;Alecrim;Grãos;Alta;2016;35500
Planalto;Alecrim;Grãos;Alta;2017;38400
Planalto;Alecrim;Grãos;Alta;2018;38400
Planalto;Alecrim;Grãos;Baixa;2015;22433
Planalto;Alecrim;Grãos;Baixa;2016;26700
Planalto;Alecrim;Grãos;Baixa;2017;25400
Planalto;Alecrim;Grãos;Baixa;2018;25400
Planalto;Alecrim;Pastagem;Baixa;2015;13022
Planalto;Alecrim;Pastagem;Baixa;2016;14000
Planalto;Alecrim;Pastagem;Baixa;2017;14000
